# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3  1.476060e-02  2.456829e-01  1.586456e+00  7.848839e-01  9.574910e-01  6.798887e+00 6 1 -1.000000e+00
-2.676499e-01 -5.413773e-01 -1.890271e+00  1.767567e+01  5.000000e-01  4.037799e-01  4.685646e-01 -8.154448e-01  2.011969e-01
-1.369361e-01  1.039684e+00  1.809918e+00  0.000000e+00  0.000000e+00  1.995947e-01  2.953124e-01  3.046246e-02  4.783311e-02
-2.742499e-04 -3.787961e-03  3.533464e-04  2.976460e+01  1.000000e+00  5.466836e+01  6.903408e+00 -1.597374e+00  5.399653e+01
3  4.861567e-02  3.072172e-01  1.024267e+00  4.169113e-01  2.271010e-01  2.301615e+00 6 1 -1.000000e+00
 4.866704e-02  7.315563e-01  1.819015e+00  0.000000e+00  0.000000e+00  1.889545e-01  3.217929e-01 -6.705301e-02  3.411329e-02
-6.066404e-02 -2.868589e-01 -4.131002e-01  5.725651e+01  5.000000e-01  6.113883e-01  1.452116e+00 -6.805139e-01  3.835178e-01
-5.056407e-04 -2.818944e-03  9.884179e-05  7.592988e+01  1.000000e+00  1.068738e+02  3.045118e+01 -1.283749e+01  1.062721e+02
2  4.658151e+00 -3.680517e+00  4.016478e+00  2.321170e+00  2.430738e-03  1.009503e+01 6 2  2.782562e-01
-2.896741e-01 -3.943161e+00  3.086952e+00  0.000000e+00  0.000000e+00  3.909540e-01  2.165505e-01  9.939685e-03  2.551933e-03
-2.409483e-02  6.452757e-02  7.503570e-03  7.358711e+02  1.000000e+00  1.650070e+01  7.719682e+00  6.885365e+00  1.279255e+01
4 -5.151118e-01 -1.103654e+00  2.162470e+00  8.413488e-01  1.000000e+00  1.535174e+01 6 1  2.730839e-01
 4.313882e-01 -1.042814e+00  2.368757e+00  0.000000e+00  0.000000e+00  3.481658e-01  1.710664e-02  4.932396e-02  2.670430e-03
-5.860583e-01 -1.801096e-01 -1.130810e+00  6.887939e+01  5.000000e-01  8.302796e-01 -7.791351e-01 -5.532408e-01  1.199963e-02
 6.455010e-01  1.710129e-01 -1.172680e+00  5.344041e+01  5.000000e-01  7.387513e-01 -8.220232e-01 -4.952534e-01  9.846537e-03
-1.762482e-01  1.032530e+00  2.244809e+00  2.942114e+00  0.000000e+00  3.134378e-01  1.562025e-01  3.868245e-02  2.458571e-03
3  2.696255e-01  4.064361e-01  1.251089e+00  6.520640e-01  1.247370e-01  2.258185e+00 6 1 -1.000000e+00
