# num_image x_src y_src, sep, ein, fr, zs, fs, flag_out, frac_sh_trunc
# x_img, y_img, mag, delay, n_i, kappa, gamma1, gamma2, kappa*
# zmin, zmax, log10Mhmin, log10Mhmax, log10mshmin, log10mshmax, n_bins: 0.10, 3.00, 10.00, 16.00, 9.00, 16.00, 100
3 -2.162031e-01  4.788497e-01  1.272624e+00  5.013097e-01  1.267114e-01  5.945360e+00 6 1 -1.000000e+00
-4.967297e-01  9.484617e-01  1.386667e+00  0.000000e+00  0.000000e+00  1.504417e-01  2.440810e-02  3.274653e-04  2.658725e-03
 7.974614e-02 -1.861071e-01 -1.757065e-01  1.141699e+02  5.000000e-01  5.954878e-01  1.739496e+00  1.681991e+00  2.808432e-01
 6.794539e-04 -1.365011e-03  1.621230e-05  1.316062e+02  1.000000e+00  2.506521e+02  8.036722e+00  2.408391e+01  2.498282e+02
2 -1.080096e-01  2.613608e+00  3.117885e+00  1.791729e+00  3.688066e-01  8.847460e+00 6 3  2.733943e-01
-1.854173e+00  1.698305e+00  3.011599e+00  0.000000e+00  0.000000e+00  3.826945e-01  3.855164e-02  2.180144e-01  2.997273e-04
 5.251507e-01 -3.166455e-01 -1.110698e+00  5.112051e+02  5.000000e-01  1.289327e+00 -5.022763e-01  8.554320e-01  1.853973e-02
2 -5.414721e-01  2.931899e-01  2.554739e+00  1.224353e+00  2.164288e-01  1.515560e+01 6 1 -1.000000e+00
 4.809886e-01 -1.631495e-01 -5.624219e-01  4.307906e+02  5.000000e-01  1.009674e+00 -1.146285e+00  6.812840e-01  1.483593e-02
-1.601193e+00  1.317125e+00  2.598646e+00  0.000000e+00  0.000000e+00  3.605487e-01  9.828964e-03  1.548732e-01  3.293901e-04
3  1.378159e-01  3.254201e-01  1.198110e+00  4.430845e-01  1.565870e-01  1.947520e+00 6 1 -1.000000e+00
-1.233495e-01 -3.203811e-01 -3.335096e-01  3.064734e+01  5.000000e-01  9.323138e-01  1.349056e+00 -1.087679e+00  7.249154e-01
 4.607634e-01  7.256971e-01  2.129869e+00  0.000000e+00  0.000000e+00  2.211634e-01  1.922157e-01 -3.164285e-01  7.357977e-02
-2.979109e-03 -6.941927e-03  4.075007e-04  3.777931e+01  1.000000e+00  5.750028e+01  1.864147e+01 -1.976851e+01  5.703573e+01
3 -1.757445e+00  2.077501e+00  5.150399e+00  2.208795e+00  9.639008e-01  5.142870e+00 6 1  2.928948e-01
-3.102282e+00 -3.086786e+00  2.811849e+00  0.000000e+00  0.000000e+00  3.967703e-01  1.799586e-03 -9.080170e-02  7.685397e-04
 2.541900e-01  8.197084e-01 -2.710343e+00  3.824999e+02  5.000000e-01  1.455400e+00  6.975943e-01 -2.995140e-01  7.096023e-02
 7.397086e-02  1.761048e-01  2.310800e-01  3.849384e+02  1.000000e+00  3.815858e+00  1.448358e+00 -1.226299e+00  1.234724e+00
3 -6.083625e-01 -6.979401e-01  2.330851e+00  1.019795e+00  1.026825e-01  6.758040e+00 6 1 -1.000000e+00
-1.373783e+00 -1.426536e+00  1.786262e+00  0.000000e+00  0.000000e+00  2.423910e-01  3.299392e-02 -1.142562e-01  2.215502e-03
 3.073674e-03  2.644403e-03  4.032727e-05  2.574534e+02  1.000000e+00  1.607719e+02 -2.178746e+01 -1.597700e+01  1.593648e+02
 2.402423e-01  2.550668e-01 -1.834179e-01  2.312929e+02  5.000000e-01  8.280053e-01  3.260185e-01 -2.318475e+00  2.762695e-01
1  1.703203e-01  5.312957e-01  0.000000e+00  1.463597e-01  0.000000e+00  8.803600e+00 0 2  2.966510e-01
-6.513636e-02  2.982091e-01  3.081642e+00  0.000000e+00  0.000000e+00  3.534940e-01  3.046517e-01  2.559276e-02  2.030402e-03
3 -1.083709e-01 -1.007996e-01  1.278667e+00  6.097911e-01  2.493280e-01  5.358400e+00 6 3 -1.000000e+00
-4.918430e-01 -5.716449e-01  5.170675e+00  0.000000e+00  0.000000e+00  3.247591e-01  1.104235e-01 -5.003584e-01  8.110097e-02
 4.108451e-01  3.339732e-01 -1.289194e+00  3.765771e+01  5.000000e-01  5.280021e-01 -1.895148e-01 -9.810936e-01  2.567608e-01
 8.406073e-04  6.788954e-04  3.433978e-05  9.022265e+01  1.000000e+00  1.925224e+02 -2.525998e+01 -8.319856e+01  1.916311e+02
3 -4.285473e+00  2.419374e+00  2.249820e+00  1.273265e+00  3.748025e-01  1.339790e+01 6 1  2.949752e-01
 6.366550e-01 -1.706330e+00  1.799665e+00  0.000000e+00  0.000000e+00  2.427350e-01 -1.444589e-02  1.325996e-01  1.460454e-03
-4.401608e-01  2.690576e-01 -6.745188e-01  1.253422e+02  5.000000e-01  5.951845e-01 -4.619949e-01  1.197069e+00  1.221253e-01
-4.127818e-03  2.155155e-03  1.151089e-04  1.496480e+02  1.000000e+00  1.047958e+02 -4.566937e+01 -6.760484e-01  1.033300e+02
3  1.029300e-01 -1.269396e-01  6.420517e-01  2.749655e-01  8.788184e-01  1.259410e+01 6 1 -1.000000e+00
 2.828462e-01 -3.888055e-01  1.679399e+00  0.000000e+00  0.000000e+00  2.214462e-01  4.810986e-04  1.034155e-01  1.044317e-02
-1.126165e-01  1.170004e-01 -1.475887e+00  1.340013e+01  5.000000e-01  5.395855e-01  1.960788e-02  9.429505e-01  1.856921e-01
-1.891758e-03  2.104799e-03  6.838140e-04  1.593237e+01  1.000000e+00  3.938388e+01 -1.401611e+00  2.995225e+00  3.844993e+01
3 -5.016902e-01 -4.082045e-01  5.473954e-01  2.411938e-01  1.903428e-01  1.070300e+01 6 3  2.988636e-01
 4.867550e-02 -3.755847e-01  2.647133e+00  0.000000e+00  0.000000e+00  3.653330e-01  1.568227e-01  2.101832e-02  1.476121e-03
-4.749744e-02  1.632961e-01 -1.390719e+01  5.940581e+00  5.000000e-01  7.629902e-01  3.013089e-01  1.931109e-01  1.110503e-02
-1.598396e-03  1.407506e-02  1.002930e-01  6.500025e+00  1.000000e+00  4.292115e+00  8.824544e-01  2.975049e-01  1.170057e+00
3 -5.955205e-01 -5.906337e-01  2.140985e+00  9.769228e-01  1.255026e-01  6.758310e+00 6 1 -1.000000e+00
-1.399261e+00 -1.212977e+00  1.581078e+00  0.000000e+00  0.000000e+00  1.952637e-01  7.338881e-02 -9.866363e-02  2.597083e-03
 6.178902e-03  4.500799e-03  1.762013e-04  3.436251e+02  1.000000e+00  7.899356e+01 -1.359554e+01 -1.492749e+01  7.722816e+01
 2.241088e-01  1.829057e-01 -1.984293e-01  3.234154e+02  5.000000e-01  1.082235e+00 -2.685538e-01 -2.230296e+00  4.191025e-01
3  4.192147e-01 -5.702779e-01  2.028436e+00  6.741371e-01  1.429227e-01  1.367000e+01 6 1 -1.000000e+00
 1.003247e+00 -1.414236e+00  1.624714e+00  0.000000e+00  0.000000e+00  2.144683e-01 -2.267505e-02 -3.244668e-02  1.735646e-03
-1.715907e-01  2.393397e-01 -2.322085e-01  3.044815e+02  5.000000e-01  7.541428e-01  6.226843e-01  1.994789e+00  2.540736e-01
-1.362185e-03  2.027507e-03  2.220295e-05  3.425897e+02  1.000000e+00  2.151449e+02  1.739218e+01  2.272655e+01  2.138154e+02
1 -1.151056e+00 -1.172232e+00  0.000000e+00  1.473027e+00  0.000000e+00  1.339850e+01 0 2  2.789242e-01
 1.584713e+00  1.465197e+00  7.408137e+00  0.000000e+00  0.000000e+00  4.057164e-01  1.500866e-01 -4.423350e-01  3.881254e-03
3  7.129523e-01  3.150071e-01  3.328621e+00  1.188686e+00  4.784967e-01  8.529370e+00 6 1 -1.000000e+00
-5.411672e-01 -2.061281e-01 -1.045022e+00  3.161415e+02  5.000000e-01  8.794676e-01 -7.759579e-01 -6.077297e-01  1.565258e-01
 2.426081e+00  1.302234e+00  2.183968e+00  0.000000e+00  0.000000e+00  3.223805e-01 -3.579473e-02  2.193993e-03  2.087690e-03
-7.541616e-03 -3.268671e-03  1.989085e-04  3.473147e+02  1.000000e+00  7.375705e+01 -1.143131e+01 -1.163941e+01  7.183494e+01
3  1.315959e-01  3.728394e-02  4.551503e-01  2.558336e-01  2.802802e-01  7.576670e+00 6 1 -1.000000e+00
-9.530484e-02 -1.820843e-03 -5.075860e-01  1.027239e+01  5.000000e-01  1.443839e+00 -1.466457e+00 -1.288617e-01  1.091969e+00
