mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[1.56574, -0.340243, 0.00102384]","[0.0, 6126001.0, 6646075.0]","[0.0,0.5,1.0]",28751,8.183616246300915,1.2374084792297768,0.2622290242691444,0.0200100194262264,67047.94485030393,6.691660794087416,24.187130927269944,4.266156380239597,-1.0,1.344,5.338221550734313,2.4922053067453893,0.0,0.0,0.0
"[1.50201, 0.00335827, -0.159081]","[0.0, 5632281.0, 5529864.0]","[0.0,1.0,0.5]",7229,9.1472129442986,1.1912904882716795,0.0433852504681689,0.0162937350256494,13181.725037108194,1.7133778829509247,131.63533531417693,16.72828870127282,0.791,0.791,21.581756914119968,0.0,0.0,0.0,0.0
"[2.21237, -0.297641, 0.000201837]","[0.0, 4942569.0, 6021174.0]","[0.0,0.5,1.0]",15203,3.419543896111899,2.008125967506696,0.0950042568048098,0.0078925398195697,19770.40440298618,2.387879516511126,116.39712884901054,8.450148079662931,-1.0,1.03,13.388119885659515,0.0,0.0,0.0,0.0
"[1.41814, -0.158102, 0.00109836]","[0.0, 13733280.0, 14028420.0]","[0.0,0.5,1.0]",26380,6.0533556251942935,1.821648090365159,0.1335851668409333,0.0272631526645316,40313.64684776375,4.329470063668434,38.56497573918328,4.153841245210847,-1.0,0.805,4.946630235807083,1.65737932543428,0.0,0.0,0.0
"[-1.89543, 4.41697, 0.210301]","[174511.8, 0.0, 183070.2]","[0.5,0.0,1.0]",2655,7.051157126549338,1.3400807472471936,0.0183856433440266,0.0375651194702249,8811.51563962274,1.2356084268906566,195.5545584858878,32.83746401935126,-1.0,0.489,83.86550093765858,0.0,0.0,0.0,0.0
"[-2.37492, -10.2672, 4.31436, 13.4107, 0.00749254]","[5415103.0, 4136670.0, 0.0, 3965152.0, 8878524.0]","[0.5,0.5,0.0,0.0,1.0]",13139,8.142612227975867,2.0419618405912514,0.0679339563286292,0.0265327086255394,18257.82989007317,2.236489766018611,63.98665028095419,9.470288416402314,-1.0,0.514,52.193810916694716,0.0,0.0,0.0,0.0
"[3.05613, -0.313568, 0.0065586]","[0.0, 5872748.0, 6050583.0]","[0.0,0.5,1.0]",24248,7.070866191474826,1.5988227407432407,0.1002590208753031,0.020152865638805,32868.57140612093,3.64452503258498,48.85056372689993,3.222760566377377,-1.0,0.922,5.633962513732852,1.8234292706131063,0.0,0.0,0.0
[3.54586],[0.0],[0.0],28355,10.291433427422302,1.2110803573967086,3.1206920521824136e-06,0.0065873748590749,61419.0729852194,6.203793082308329,23.427371532297727,4.003571773119615,1.592,1.592,7.538907433839764,0.0,0.0,0.0,0.0
"[2.22819, -0.493698, 0.0143711]","[0.0, 1353195.0, 1429766.0]","[0.0,0.5,1.0]",8702,10.521108264058736,1.5676667506527489,0.0036716504752446,0.0088239624670272,14665.546083215531,1.869087378367164,83.48646901156195,8.19990911736029,-1.0,0.994,13.563995855942363,0.0,0.0,0.0,0.0
"[2.82779, -2.31502, -3.86535, 5.4678, 1.09992e-05]","[0.0, 1309761.0, 1123470.0, 1046834.0, 3590631.0]","[0.0,0.5,0.5,0.0,1.0]",19072,6.264367569635822,1.0177177456527635,1.7471403975431317e-35,0.0271108669197127,24057.141771754905,2.8085796631652715,113.7677383066293,3.7206762438274654,0.55,0.55,14.156168831409587,0.0,0.0,0.0,0.0
