mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[2.21011, -0.300784, 0.00306508]","[0.0, 1018396.0, 1111275.0]","[0.0,0.5,1.0]",27590,9.003321023322151,2.057150706496225,0.0330809287222018,0.0325935280010237,52705.92035617598,5.439727884874067,18.758007336150545,4.312164810732184,-1.0,2.05,6.837139694672242,0.0,0.0,0.0,0.0
"[3.32034, -0.777763, 0.0060792]","[0.0, 16461530.0, 16858390.0]","[0.0,0.5,1.0]",30227,8.542327894016568,1.7465849651483305,0.0279636119750757,0.0355561625840645,179681.6406041503,15.9617128657368,4.524992736250379,2.190566521013634,2.174,2.174,3.9916065318722223,1.9318797285297202,0.17079677329272683,0.0,0.0
"[2.05938, -0.264951, 0.000236153]","[0.0, 7566723.0, 8805724.0]","[0.0,0.5,1.0]",13063,12.549699895840188,1.999537932247548,0.047032263884412,0.0480405238348051,18634.89336424871,2.274393355478345,46.831981408446815,16.05122909365353,-1.0,1.306,23.034380611307036,8.26579316523065,0.0,0.0,0.0
[4.16084],[0.0],[0.0],19070,9.111870348672085,1.5409335239865485,0.1244266342301275,0.0144016901930618,24155.66223281262,2.8181219952116843,58.396981258898265,8.106589867669921,0.183,0.183,16.5359332100444,0.0,0.0,0.0,0.0
"[4.03746, -0.265107, 0.000713528]","[0.0, 3448240.0, 4161164.0]","[0.0,0.5,1.0]",25810,8.203391327811023,1.882014949493251,0.4648020158404177,0.0107546576364108,37294.30779363337,4.053622014928687,32.68287339676887,4.768787244345298,-1.0,0.275,9.582130108481572,2.4586811142702794,0.0,0.0,0.0
"[4.35435, -2.01984, -3.29793, 2.49644, 0.00533976]","[97666.91, 155784.1, 117015.1, 0.0, 298199.0]","[0.0,0.5,0.5,0.0,1.0]",30033,6.760703134481665,1.1042124664939024,1.747474998718438e-10,0.0026353891571911,134862.1526624923,12.351149901167863,12.322511912329702,1.3284334633383237,-1.0,0.191,4.635052607284565,0.0,0.0,0.0,0.0
"[2.07307, -0.565278, 0.000378623]","[0.0, 24969190.0, 26847690.0]","[0.0,0.5,1.0]",27115,9.3958546200051,2.340964698517464,0.0807853562541285,0.0449309716669522,49087.41066251221,5.118736036699335,17.543906869976198,5.993111820944242,1.651,1.651,8.628978052626687,4.5059194386704196,0.11661539215860826,0.0,0.0
"[3.65101, -0.381199, 0.0597855]","[0.0, 4764165.0, 4808279.0]","[0.0,0.5,1.0]",20863,6.4720084045630415,1.3050798872316411,0.1007873624353926,0.0028515371154475,27354.40226484762,3.125296831944215,76.83298247763437,8.906822183158217,-1.0,1.898,18.01732459538514,0.0,0.0,0.0,0.0
"[2.12001, -2.37631, 0.000661002]","[0.0, 3181142.0, 3772141.0]","[0.0,0.5,1.0]",18919,7.502341473324376,1.2670353798562526,0.062316892733863,0.0188029087853948,23754.11071249428,2.779196854756412,82.2334178490429,4.722977592082907,0.945,0.945,10.015587086022734,0.0,0.0,0.0,0.0
"[3.52118, -0.763447, 0.00994091]","[0.0, 7993375.0, 8453681.0]","[0.0,0.5,1.0]",26120,5.810644951827249,1.955551224176749,0.0652460558872703,0.0053114265711821,40052.57163196617,4.305712942943368,37.53011172195341,5.886022172367349,0.537,0.537,11.045007292489592,5.1763136413050725,0.0,0.0,0.0
"[-3.87386, 3.51341, 0.00259402]","[516947.2, 0.0, 697552.9]","[0.5,0.0,1.0]",29491,5.761749938678546,1.4735892310499967,0.0083013871593624,0.0488267251878253,86934.6602739889,8.387037689643046,18.95474912158,3.317696188640828,0.945,0.945,9.018926287222598,0.0,0.0,0.0,0.0
"[4.30237, -1.72848, 0.00010445]","[0.0, 1343232.0, 3283559.0]","[0.0,0.5,1.0]",16733,5.355522514667141,1.421221605493175,0.052811188748586,0.0235663577934887,21483.353560585263,2.557357248092804,104.24160744977948,12.452851084805374,-1.0,0.888,30.581713747735744,0.0,0.0,0.0,0.0
"[1.97783, -0.609076, 0.0019953]","[0.0, 2197566.0, 2797146.0]","[0.0,0.5,1.0]",7623,6.968322671391815,1.873036573510248,0.024116695885249,0.0044227676992754,13411.550148826642,1.7376720869899056,102.77945543681705,28.721467782017378,-1.0,1.105,46.213022843569576,0.0,0.0,0.0,0.0
"[-1.28713, 2.31108, 0.0253714]","[375359.8, 0.0, 441521.8]","[0.5,0.0,1.0]",22410,5.067974696589673,1.872645736336872,0.1031996617701922,0.0338544237813306,29999.245376725103,3.3758104422197985,59.67449105524854,7.478748287522961,-1.0,0.508,14.236326093359292,0.0,0.0,0.0,0.0
"[-0.703774, 1.79369, 0.00989658]","[2413048.0, 0.0, 2552473.0]","[0.5,0.0,1.0]",25825,8.401519571439465,1.4647824907058742,0.0448374385282345,0.0190728980646689,36746.21640477639,4.003280234592174,41.38782731847322,2.879481930452775,-1.0,0.66,4.559558103772089,0.0,0.0,0.0,0.0
"[-2.59564, 2.54839, 0.00253652]","[1212235.0, 0.0, 1490716.0]","[0.5,0.0,1.0]",22950,10.48103702250494,1.6525751161512614,0.2807233950248829,0.0162545073124704,30891.321328539947,3.459676075521681,38.16241968511767,5.003973417649119,1.644,1.644,11.352036770406782,0.0,0.0,0.0,0.0
"[3.01302, -1.44343, 5.44534e-05]","[0.0, 66794100.0, 73318130.0]","[0.0,0.5,1.0]",28869,6.313798200198916,1.063088198014051,0.0828394382402957,0.003122048620876,68538.5724791822,6.820191125359704,32.717412473994564,3.386719072517583,0.593,0.593,5.878684877145109,4.068900194192957,0.024991462650098408,0.0,0.0
"[-0.536752, 2.22828, 0.00352255]","[723419.8, 0.0, 812037.2]","[0.5,0.0,1.0]",6213,5.507645927576432,1.8747417960162824,0.1163846024105253,0.0128634269260886,12214.06597046948,1.6103069254500653,132.44910858292755,23.776161126593003,1.143,1.143,39.561092625313634,0.0,0.0,0.0,0.0
"[-0.300498, 2.46693, 0.0105107]","[366498.5, 0.0, 380977.2]","[0.5,0.0,1.0]",20169,5.78714566625664,2.116291673500932,0.007685890161247,0.0460215772859868,26703.22596760185,3.0631589674770106,54.63897802688011,12.024145841176436,-1.0,1.26,20.040823545901187,0.0,0.0,0.0,0.0
"[2.35959, -0.37075, 0.0008813]","[0.0, 2495480.0, 2588990.0]","[0.0,0.5,1.0]",30076,7.310900106323651,1.1435927296459825,0.0957509072510551,0.0220045861278979,124367.66012154846,11.494208540506872,12.58874850067075,2.148018564921783,2.135,2.135,3.299562081405217,1.3094658380965625,0.0,0.0,0.0
[3.13485],[0.0],[0.0],30236,9.401868625767367,1.071149156402555,0.0004611042634611,0.022498171955059,180354.0737273476,16.015374975578755,6.708119667136924,1.5417273513543737,-1.0,1.139,2.729706536380247,0.0,0.0,0.0,0.0
"[3.88319, -3.0059, 0.000734114]","[0.0, 879780.1, 1716276.0]","[0.0,0.5,1.0]",26024,6.442737444427165,1.682437019243408,0.173436568547732,0.0261996204099965,41575.0026385934,4.444010306058557,38.26311076311781,7.646891223280914,-1.0,0.498,20.071922896143146,0.0,0.0,0.0,0.0
"[2.0068, -0.224097, 4.14345e-05]","[0.0, 10937550.0, 12456880.0]","[0.0,0.5,1.0]",28369,8.552958529213603,2.2639143992399537,0.0001703819018025,0.0071799256309847,65242.71716099768,6.535640937716316,13.705684704096784,4.945255002940242,-1.0,1.035,7.005525805256227,2.3410285615393307,0.03183242629770764,0.0,0.0
"[2.22923, -0.406984, 0.000130413]","[0.0, 2201827.0, 2965664.0]","[0.0,0.5,1.0]",11745,4.887320633031703,1.4552410941795877,0.0356043705256733,0.0314457739675397,17052.553292974437,2.1145505114244627,136.1863806146927,16.683212710420285,-1.0,0.473,27.08823822109951,0.0,0.0,0.0,0.0
"[1.83679, 0.00072697, -0.200762]","[0.0, 8543434.0, 8000479.0]","[0.0,1.0,0.5]",13942,7.797201475351423,1.7014418375624398,0.009652417373409,0.010804718482664,19078.25676376117,2.3188187685151034,75.13961352255689,16.00324888336365,-1.0,1.105,21.688919288773185,7.183461985697982,0.0,0.0,0.0
"[-0.497185, 3.90378, 0.000580749]","[12143030.0, 0.0, 14725160.0]","[0.5,0.0,1.0]",26943,6.873057280876148,2.146627524226074,0.2984659879566686,0.0195808229766274,47217.521837628,4.951899416239896,25.086573599046027,7.200071456741493,-1.0,1.731,14.225890907780382,5.076867340644911,0.17351260974457772,0.0,0.0
"[-0.296768, 1.74829, 0.00290888]","[13912130.0, 0.0, 14575870.0]","[0.5,0.0,1.0]",3801,6.465385455972725,1.5351735941475004,0.3217327142502535,0.0256699933290766,10264.117361781267,1.3982332044780734,162.9969090022741,14.235570648943916,-1.0,0.753,20.37212561877272,0.0,0.0,0.0,0.0
"[2.63797, -0.39522, 0.00181133]","[0.0, 19180450.0, 20565800.0]","[0.0,0.5,1.0]",4601,7.428914277466493,1.6278531913816092,0.4684134844044885,0.0344341604672561,10998.031204171586,1.478805990716246,131.95416975321712,20.200127154301423,-1.0,0.438,32.808700525678326,12.728185395529568,0.0,0.0,0.0
"[-0.616225, 2.13294, 0.0315617]","[2839900.0, 0.0, 2933994.0]","[0.5,0.0,1.0]",3864,5.637976683189348,1.3586386964625172,0.0658810002055562,0.013612652640986,10212.448547704402,1.3925246878841704,202.77677972887656,22.584037173999903,-1.0,0.592,37.66003622756828,0.0,0.0,0.0,0.0
"[1.55254, -0.27804, 0.000241585]","[0.0, 2394877.0, 2775962.0]","[0.0,0.5,1.0]",16408,8.658834991248137,1.93512524011602,0.3020764482856553,0.0079787197523188,22035.450427828386,2.611575566362037,53.58788106897922,9.16771651685904,-1.0,1.284,12.40464064776778,0.0,0.0,0.0,0.0
"[1.60528, -0.203146, 5.42403e-05]","[0.0, 9011943.0, 10616560.0]","[0.0,0.5,1.0]",20460,5.125002801555329,1.891976644772944,0.6245348352166687,0.0427384765010651,26214.790309474323,3.0164237636446005,67.62145328546335,8.30745657925465,-1.0,0.928,10.525517980306324,3.74481345579144,0.0,0.0,0.0
[4.74728],[0.0],[0.0],27973,7.087823265645268,1.7186964534723814,0.3540782875452718,0.0333249870953634,57423.07658126747,5.854824390810653,23.81984938550079,3.9574583486030575,-1.0,1.12,8.622610657052077,0.0,0.0,0.0,0.0
"[2.28073, -1.46684, 0.00366856]","[0.0, 15594340.0, 16883020.0]","[0.0,0.5,1.0]",18996,6.708560761120486,1.8847772105402087,0.3569212224749757,0.0304896399750123,24328.7513010034,2.8348743667253222,59.92704643422029,10.615339044880066,-1.0,0.968,16.031376262969424,12.872640722254323,0.0,0.0,0.0
