mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[2.45837, -0.450752, 0.0204106]","[0.0, 2618226.0, 2666913.0]","[0.0,0.5,1.0]",11510,1.3033466756562015,1.2061019870466356,0.0327506780038583,0.0017802332317187,13235.399845167562,1.719057635307592,567.2331775487291,0.8379120369115421,0.856,0.856,1.4341599716033846,0.0,0.0,0.0,0.0
"[5.68159, -0.330994, 0.0290645]","[0.0, 3052016.0, 3074358.0]","[0.0,0.5,1.0]",43987,1.384621062557748,1.333471608330527,0.0180025335911474,0.0440852923192629,84417.80261561017,8.174565259360353,65.33929024637186,0.1084399871508031,1.101,1.101,0.2665429406383226,0.0,0.0,0.0,0.0
"[2.49241, -1.54331, 0.000490066]","[0.0, 447701.8, 799779.9]","[0.0,0.5,1.0]",29782,1.547216362598332,1.434715845826815,0.0133588685070212,0.0259477353138385,36342.590025606776,3.9661517520758975,155.90469371247903,0.379705917786618,-1.0,0.664,0.7628413856307777,0.0,0.0,0.0,0.0
"[1.61941, 0.0125928, -0.162931]","[0.0, 3757361.0, 3721893.0]","[0.0,1.0,0.5]",38272,1.2674524280204666,1.2615550675350913,0.0077866498071273,0.0498990568900892,59974.85626210355,6.0779357006005785,113.50404191735574,0.042235035399321,-1.0,1.036,0.05658444758773971,0.0,0.0,0.0,0.0
"[-1.40479, 2.31571, 8.43664e-06]","[2178018.0, 0.0, 4088462.0]","[0.5,0.0,1.0]",41832,1.2462623639819652,1.2314920992582443,0.02687101603081,0.0080662713101149,78086.97336395686,7.637616891425654,84.27496999146908,0.0692532094060322,-1.0,1.467,0.1335798807986596,0.0,0.0,0.0,0.0
"[2.19767, -0.50561, 0.215233]","[0.0, 35222330.0, 35224260.0]","[0.0,0.5,1.0]",44969,1.2491488774119417,1.076149806244936,0.0072041503126864,0.0466461070303314,85683.4331462273,8.281477108055686,83.5643440406407,0.1835816011672303,0.629,0.629,0.27215128751428647,0.15586532021249414,0.0,0.0,0.0
"[3.79025, -1.22605, 9.84146e-06]","[0.0, 3628203.0, 5824516.0]","[0.0,0.5,1.0]",37632,1.591548335361778,1.1642510341483168,0.0088144182245066,0.0419079495695262,54167.33596988736,5.568715679996467,114.14550575727029,0.3581729712892952,2.828,2.828,0.80220430175363,0.0,0.0,0.0,0.0
[3.35157],[0.0],[0.0],50605,1.7029534337947567,1.3546127456931492,0.0260451928740121,0.0177815412841708,193707.9320997369,17.07843435244515,17.561011243444902,0.0826572436281094,-1.0,0.944,0.1513230429621996,0.0,0.0,0.0,0.0
[3.00944],[0.0],[0.0],38841,1.565851807213572,1.4813283492036131,0.030373814951973,0.0493870096661863,64767.29548797207,6.4944839358913535,75.68991543371595,0.1865321352699622,-1.0,2.392,0.32359105374995256,0.0,0.0,0.0,0.0
"[3.43359, -2.17805, 2.55599e-05]","[0.0, 3321237.0, 6763274.0]","[0.0,0.5,1.0]",49619,1.3640150595942122,1.2348437500359175,0.0392543917983385,0.0392505667341098,134581.503683788,12.328299177198785,37.86593552430591,0.0489437080009166,-1.0,0.78,0.0906924399997032,0.07223219148342433,0.0002474437243959354,0.0,0.0
