mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
[3.67889],[0.0],[0.0],3672,89172.3,70700.6,0.810953,0.780334,16535.21657081154,2.06267,463.2488992548287,658.9531480697968,-1.0,0.472,1263.9006533755064,0.0,0.0,0.0,0.0
"[2.64751, -0.363355]","[0.0, 11466040.0]","[0.0,0.5]",7050,596697.0,421417.0,0.933847,0.889032,77883.7173126613,7.63361,3.774705790661796,885.6201696433521,-1.0,2.259,1441.007706588802,533.842406058429,0.0,0.0,0.0
[3.70163],[0.0],[0.0],6176,414759.0,225016.0,0.998,0.920513,83020.62463302154,8.07077,8.09729011164468,1067.3941290165085,-1.0,0.26,2053.6258049867374,0.0,0.0,0.0,0.0
"[1.54774, -0.210561, 0.00116864]","[0.0, 7903564.0, 8377990.0]","[0.0,0.5,1.0]",1913,407763.0,17828.9,0.949548,0.998,72473.95702239912,7.17043,108.37657100029256,292.8112174741375,-1.0,0.385,388.3994435575951,0.0,0.0,0.0,0.0
"[-1.83782, 5.69829, -12.6491, 13.2969, 8.48544e-06]","[8508304.0, 0.0, 2528170.0, 2400961.0, 19345570.0]","[0.5,0.0,0.5,0.0,1.0]",5571,525377.0,448452.0,0.998,0.805069,49366.39867349622,5.15089,7.046667905888005,1710.4720025871875,-1.0,1.473,4083.0833345121505,8712.66822971195,2318.8222377447446,4.98256706991359,0.0
"[1.62527, -0.374529, 0.00105084]","[0.0, 5394429.0, 5802372.0]","[0.0,0.5,1.0]",1226,1166550.0,931217.0,0.925005,0.998,44909.03872418914,4.75136,2.147970379643569,1184.1509776113971,-1.0,0.48,1509.6276350625324,724.6858864987416,38.38622245075259,0.0,0.0
[3.04653],[0.0],[0.0],80,478686.0,453939.0,0.996256,0.976167,33605.546964479225,3.7172,11.753156524299358,2400.9143849913416,-1.0,0.54,4190.630825243414,0.0,0.0,0.0,0.0
"[2.7538, -1.45733, 0.0043821]","[0.0, 1143493.0, 1306476.0]","[0.0,0.5,1.0]",8252,461356.0,146133.0,0.352127,0.997983,66158.4625157435,6.62565,14.742431678704548,638.2992560571373,0.895,0.895,1310.5376687135947,0.0,0.0,0.0,0.0
"[-1.41969, 2.85545, -2.03205, 2.42562, 0.00121516]","[792124.9, 247685.9, 532491.0, 0.0, 1798552.0]","[0.5,0.0,0.5,0.0,1.0]",6623,281918.0,220589.0,0.623773,0.983424,47552.55536856057,4.98879,22.48091200873553,1127.2382140423815,-1.0,0.921,3331.3703992613814,0.0,0.0,0.0,0.0
"[1.72455, -0.260499, 0.000203143]","[0.0, 5716048.0, 6255100.0]","[0.0,0.5,1.0]",440,852358.0,486162.0,0.998,0.998,62691.53820212834,6.32453,3.285024886176489,1192.2560542766255,-1.0,1.451,1565.6959625611244,608.5167914728322,16.99301604018788,0.0,0.0
"[2.8158, -0.345549, 8.55089e-05]","[0.0, 7983795.0, 9278677.0]","[0.0,0.5,1.0]",1250,714168.0,685489.0,0.998,0.977925,28422.89613701424,3.22995,7.144191829830589,3227.170780684389,0.319,0.319,5415.304115862964,1897.041225965465,29.84197818336979,0.0,0.0
[3.38066],[0.0],[0.0],9806,1066740.0,531721.0,0.942462,0.998,27069.74051416595,3.10099,6.776418230251044,3167.7692143382565,0.786,0.786,5824.441416215812,0.0,0.0,0.0,0.0
"[1.63996, -0.332035, 0.000111332]","[0.0, 16809430.0, 18208840.0]","[0.0,0.5,1.0]",2565,753564.0,306536.0,-0.712297,-0.958595,51826.28796113309,5.36974,6.962140751487362,347.283109930437,-1.0,2.275,444.73395600528426,200.11313449548206,3.6643223155955007,0.0,0.0
"[2.56783, -0.257654, 0.0017038]","[0.0, 763876.7, 823345.0]","[0.0,0.5,1.0]",4004,106895.0,83656.5,0.714125,0.773298,73268.97262618935,7.23869,66.54298526528058,411.5324818916111,-1.0,0.864,691.9607303893509,0.0,0.0,0.0,0.0
"[-1.57626, 3.26003, 0.000241595]","[2777426.0, 0.0, 4604027.0]","[0.5,0.0,1.0]",4229,556410.0,397947.0,0.9898,0.9928,38152.80917529321,4.13734,10.075016924052107,2238.136698402928,-1.0,0.88,4041.0796142716817,2809.962575297403,34.78808954954105,0.0,0.0
"[2.38745, -2.39215, 0.000478303]","[0.0, 557042.5, 917594.8]","[0.0,0.5,1.0]",1908,235001.0,134570.0,-0.613332,0.434524,98627.9037460322,9.38531,15.93099164520526,375.7854914660958,-1.0,1.791,821.5944825084366,0.0,0.0,0.0,0.0
"[2.15802, -6.45871, 0.00447584]","[0.0, 1374176.0, 1859797.0]","[0.0,0.5,1.0]",1070,16841.0,1315.27,0.793931,0.864047,28956.81103491689,3.28062,36544.93099758571,42.41169097915301,-1.0,0.647,124.52874049751435,0.0,0.0,0.0,0.0
