mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[6.82298, -0.940925, 7.92041e-05]","[0.0, 22066080.0, 26882090.0]","[0.0,0.5,1.0]",304,134451.0,20000.2,-0.0181708,0.639785,174073.65247625436,15.5483,64.5012848413673,93.58034742979372,-1.0,2.256,244.43967766649195,90.77796339138682,0.0,0.0,0.0
"[1.99031, -0.991567, 0.000100372]","[0.0, 2382859.0, 4275893.0]","[0.0,0.5,1.0]",6378,428919.0,26739.9,-0.183886,0.669132,72766.43423592037,7.19555,69.90172806018478,109.32839168867264,-1.0,0.722,188.7926711287713,0.0,0.0,0.0,0.0
"[2.36616, -1.09275, -1.36631, 2.26506, 4.0819e-05]","[140487.9, 1038492.0, 818420.8, 0.0, 2915115.0]","[0.0,0.5,0.5,0.0,1.0]",9783,120744.0,119774.0,-0.148132,0.302058,147623.669313836,13.4153,17.48492061214662,304.59244309691104,-1.0,0.929,811.0559550692304,1.9460334671722987,0.0,0.0,0.0
"[2.20635, -1.0318, 0.029077]","[0.0, 436678.7, 461731.6]","[0.0,0.5,1.0]",6387,29298.9,1100.0,-0.314498,0.868618,171693.45737348005,15.3573,3193.24321838272,16.212507843517653,-1.0,1.068,29.304873694667062,0.0,0.0,0.0,0.0
"[2.06306, -0.578861]","[0.0, 6319309.0]","[0.0,0.5]",7102,112248.0,59951.3,0.0304363,0.985453,213691.7620523437,18.7046,19.967808138377528,204.8822489109569,-1.0,1.974,294.27967106931266,155.88038789629383,0.0,0.0,0.0
"[-0.773672, 1.74084, 0.00309656]","[8276963.0, 0.0, 8679744.0]","[0.5,0.0,1.0]",7784,37286.3,3039.38,-0.777737,0.966826,211242.4665334923,18.5106,743.7801667699279,19.09737570042428,1.831,1.831,30.301755894263664,0.0,0.0,0.0,0.0
"[3.41608, -0.232387, 9.69994e-06]","[0.0, 14079480.0, 18155660.0]","[0.0,0.5,1.0]",5079,132908.0,12220.2,-0.149878,0.265038,154468.26450472733,13.9696,123.64415814246526,61.27695823693061,-1.0,1.971,113.25599902716421,29.540114702913147,0.0,0.0,0.0
[3.28378],[0.0],[0.0],5514,6755.15,3030.43,0.184938,-0.296509,145647.11033391303,13.2549,4333.393125380262,23.407227426731858,0.839,0.839,42.416712105068726,0.0,0.0,0.0,0.0
"[-1.39462, 2.8254, -0.713358, 1.70854, 0.000131491]","[2494820.0, 2313399.0, 2816766.0, 0.0, 3638031.0]","[0.5,0.0,0.5,0.0,1.0]",6376,38351.1,6292.94,0.360316,0.160187,189117.9273750184,16.7517,422.9207606208347,49.26001080203101,1.02,1.02,126.95375662044829,0.0,0.0,0.0,0.0
"[1.87482, -0.444256, 0.0021782]","[0.0, 6970860.0, 7511093.0]","[0.0,0.5,1.0]",2207,4318.46,4037.87,-0.031277,0.410478,211412.8517264659,18.5241,2857.268042961713,19.91962232070189,-1.0,0.783,30.34886481570691,0.0,0.0,0.0,0.0
"[2.22693, -0.369582, 0.000708006]","[0.0, 101244900.0, 104176500.0]","[0.0,0.5,1.0]",3967,107891.0,51145.3,-0.48062,-0.288763,154029.26247789522,13.9341,37.66521824653762,171.93460369367247,-1.0,0.907,256.57632177011436,104.62471483915664,0.0,0.0,0.0
"[-0.806608, 3.43939, 0.000139472]","[2692617.0, 0.0, 4013258.0]","[0.5,0.0,1.0]",837,80415.2,38374.3,-0.104235,0.192353,181501.95767439084,16.1433,48.56410775029152,145.63223702904963,-1.0,1.554,300.09208849798546,0.0,0.0,0.0,0.0
"[-1.70279, 1.83312, 0.000466792]","[2470856.0, 0.0, 3652453.0]","[0.5,0.0,1.0]",914,253429.0,9934.73,0.0934617,-0.460388,178804.21114945298,15.9274,79.11574958420252,35.85811810223339,-1.0,0.244,67.43211153549633,0.0,0.0,0.0,0.0
