mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[2.43101, -0.284782, 2.78038e-06]","[0.0, 3405961.0, 5373340.0]","[0.0,0.5,1.0]",9222,127766.0,15655.1,-0.461612,-0.476018,140652.62968311057,12.8489,113.86079137979884,69.36661508337563,-1.0,1.683,114.31388303133797,0.0,0.0,0.0,0.0
"[1.79371, -1.45343, 0.00809133]","[0.0, 548541.9, 636181.4]","[0.0,0.5,1.0]",6407,89431.1,84717.5,-0.891135,-0.674478,73805.17380229657,7.28469,75.51770813622758,253.576461232054,-1.0,0.541,457.50923527231623,0.0,0.0,0.0,0.0
"[3.27769, -2.99301, 1.59386e-05]","[0.0, 726302.4, 2010657.0]","[0.0,0.5,1.0]",1914,48751.5,16636.0,0.288788,-0.566896,118048.32205369687,10.9976,274.58289902191046,97.54558768202487,-1.0,0.442,244.26778454635115,0.0,0.0,0.0,0.0
"[1.52493, -0.635849, 0.000154687]","[0.0, 5748585.0, 6381237.0]","[0.0,0.5,1.0]",4218,101149.0,17271.6,0.796252,0.265671,131158.1521762985,12.0742,134.63068962247775,144.7423835557292,0.677,0.677,212.7729623023205,0.0,0.0,0.0,0.0
[6.08939],[0.0],[0.0],6075,173623.0,72564.6,-0.0403352,-0.0120965,88237.21104543253,8.5123,40.47174133825542,315.8684091261753,-1.0,0.827,779.4586624916726,0.0,0.0,0.0,0.0
"[-1.15619, 2.89425, 0.000412899]","[2558361.0, 0.0, 3254117.0]","[0.5,0.0,1.0]",2563,43816.2,23396.9,0.866092,-0.344154,103568.83885111936,9.79773,261.3216407470759,130.61292724635638,-1.0,1.82,262.8811216616119,0.0,0.0,0.0,0.0
"[-0.371665, 2.53124, 0.0153838]","[384709.6, 0.0, 398327.4]","[0.5,0.0,1.0]",4503,354158.0,118623.0,-0.563508,-0.29803,135899.98660464492,12.4616,8.411812349372202,140.1483155706204,-1.0,0.51,239.41536379750707,0.0,0.0,0.0,0.0
"[2.11701, -2.79878, 0.000577562]","[0.0, 12261800.0, 14907500.0]","[0.0,0.5,1.0]",851,159262.0,88321.3,-0.416321,-0.338789,173000.42808582942,15.4622,14.538858286039252,203.05528409237064,1.006,1.006,295.4443916758231,339.7024479553952,4.8799301019122625,0.0,0.0
"[1.36912, -0.147689, 7.42643e-05]","[0.0, 7656883.0, 8647232.0]","[0.0,0.5,1.0]",2611,52402.1,1107.33,-0.599929,0.333253,51699.31229421363,5.35847,10342.872276415692,31.68862498045964,-1.0,1.291,39.028285634475914,0.0,0.0,0.0,0.0
"[1.69564, 0.000307975, -0.214799]","[0.0, 5958274.0, 5648422.0]","[0.0,1.0,0.5]",5083,93553.6,1525.66,-0.112228,0.167157,173890.38814473458,15.5336,1035.658521110439,14.522210751189547,-1.0,1.969,20.074018749179242,0.0,0.0,0.0,0.0
"[-2.45646, 3.21541]","[69631320.0, 0.0]","[0.5,0.0]",3566,146296.0,29444.5,-0.868294,0.37372,210162.29271524464,18.425,32.16284636658659,77.5447293011029,2.008,2.008,121.53661394496736,139.04983033834793,0.0,0.0,0.0
"[1.93322, -0.26629, 0.00609955]","[0.0, 29321140.0, 29941240.0]","[0.0,0.5,1.0]",370,17922.2,1581.88,-0.993162,0.707882,51697.84781054765,5.35834,15122.242335757364,32.94926562403975,-1.0,0.333,48.93392547451492,0.0,0.0,0.0,0.0
"[4.23952, 1.56314, -3.29828]","[0.0, 137285.5, 137145.1]","[0.0,1.0,0.5]",8454,46992.0,5147.4,-0.715922,0.267012,172960.5489676697,15.459,504.0473098164765,29.60235714526924,-1.0,0.67,89.30369316795306,0.0,0.0,0.0,0.0
"[5.42992, -0.0424435]","[0.0, 72637290.0]","[0.0,0.5]",6352,135455.0,83770.6,0.218364,0.00031471,106001.54112164704,10.0002,33.93123893224546,322.0397116263607,-1.0,1.376,750.4230141577257,66.34604270942027,0.0,0.0,0.0
"[2.73359, -0.726182, 0.0891223]","[0.0, 3626983.0, 3647913.0]","[0.0,0.5,1.0]",1711,24000.5,20922.3,-0.537491,0.258373,137516.0088736139,12.5934,317.7994173405596,78.50378918976361,1.643,1.643,147.88943572230104,0.0,0.0,0.0,0.0
"[2.22154, -4.19448, 9.21437e-06]","[0.0, 3160459.0, 6195834.0]","[0.0,0.5,1.0]",1154,207133.0,1493.31,-0.910825,-0.704213,122911.85454415483,11.398,1002.972927122716,8.279122779861943,-1.0,2.203,20.970920296351952,0.0,0.0,0.0,0.0
"[4.98711, 5.53723e-05, -0.128552]","[0.0, 16899470.0, 14787090.0]","[0.0,1.0,0.5]",4115,415035.0,8298.55,-0.719597,-0.259501,105998.41430059768,9.99994,138.92400279636678,19.105173606309545,-1.0,1.24,42.66536468750406,6.851472530234821,0.0,0.0,0.0
[3.9792],[0.0],[0.0],309,255419.0,83990.7,0.329619,-0.261337,102311.8083405002,9.69296,21.74760283913153,352.2962210307966,1.318,1.318,702.7581139776231,0.0,0.0,0.0,0.0
