mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[-0.590787, 2.41023, 0.000711199]","[4267941.0, 0.0, 5188588.0]","[0.5,0.0,1.0]",4072,119462.0,41741.6,-0.51212,0.766473,34277.26013355514,3.77966,279.7054364126482,303.47862350090867,-1.0,0.924,525.7917749840137,0.0,0.0,0.0,0.0
"[2.30166, -0.370818, 0.00384033]","[0.0, 16705810.0, 17144190.0]","[0.0,0.5,1.0]",760,356574.0,3320.06,0.2608,0.648249,216353.82092100004,18.9153,141.59229483405008,11.174886248887528,0.995,0.995,16.95366885871802,6.840074115741222,0.0,0.0,0.0
"[-0.94833, 5.19554, 1.76516e-05]","[32896260.0, 0.0, 44666850.0]","[0.5,0.0,1.0]",6310,46229.5,14477.6,0.555876,-0.705881,117223.84672172285,10.9296,327.6867154298815,95.38152996207944,-1.0,1.05,217.41005745688594,92.8855315982913,0.0,0.0,0.0
[3.02273],[0.0],[0.0],6043,143382.0,6009.34,0.114874,0.336976,171529.04228518854,15.3441,203.2525280565547,37.10102372075371,-1.0,0.733,64.50384026769434,0.0,0.0,0.0,0.0
"[1.43123, -0.52048, 1.54769e-06]","[0.0, 3641601.0, 5605630.0]","[0.0,0.5,1.0]",3761,45058.1,14126.2,-0.877996,-0.743671,164277.956910454,14.7611,214.7782499702977,57.28009684161227,-1.0,0.766,80.02239760142392,0.0,0.0,0.0,0.0
"[10.2405, -9.85868, 2.70493, 0.000301711, -0.069142]","[16222280.0, 16369090.0, 0.0, 57142100.0, 55877770.0]","[0.0,0.5,0.0,1.0,0.5]",1733,39214.1,1100.0,-0.374948,-0.891708,204663.2415083269,17.9888,2044.207051627462,12.54315471445663,-1.0,1.024,59.989273269560556,0.0,0.0,0.0,0.0
[3.67161],[0.0],[0.0],9260,17309.7,4177.84,0.46476,-0.109671,164335.08708048775,14.7657,1347.9589229331148,35.84705859338634,-1.0,0.358,68.68814655127358,0.0,0.0,0.0,0.0
"[3.51118, -0.745924, 0.0986103]","[0.0, 60346970.0, 60518780.0]","[0.0,0.5,1.0]",2666,17756.9,2086.4,-0.865194,-0.967054,188793.30481997025,16.7258,2107.695796473587,18.62056449088559,-1.0,0.46,38.86176628257328,0.0,0.0,0.0,0.0
"[-0.613394, 3.02605, 0.000280523]","[6133333.0, 0.0, 7404922.0]","[0.5,0.0,1.0]",4985,78887.2,14791.1,-0.18994,-0.775346,185140.9489881677,16.4342,115.39352644043942,68.07400569072493,-1.0,0.749,129.87201058377366,0.0,0.0,0.0,0.0
"[3.67351, -0.0043944]","[0.0, 48553470.0]","[0.0,0.5]",3164,24472.8,4320.27,-0.0784758,0.75619,93760.16647373064,8.97734,2178.989037559606,47.16972461904704,1.162,1.162,90.46145297160935,0.0,0.0,0.0,0.0
