mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
[3.58491],[0.0],[0.0],1599,324690.0,7731.16,0.806077,0.976733,145791.2221880993,13.2666,113.99376747583528,84.19412381382269,1.536,1.536,159.41196319405583,0.0,0.0,0.0,0.0
"[3.76338, -0.514294, 0.0336483]","[0.0, 4126879.0, 4207653.0]","[0.0,0.5,1.0]",7734,290078.0,22035.6,-0.112679,-0.250369,117147.4839800811,10.9233,59.1901207006018,82.3846282065484,-1.0,0.71,171.0611673297215,0.0,0.0,0.0,0.0
"[3.31729, -7.10146, 0.0119622]","[0.0, 56087530.0, 60369140.0]","[0.0,0.5,1.0]",3348,392890.0,4777.58,0.388595,0.654712,179052.75880259412,15.9473,120.95967295231212,19.8480433216486,-1.0,0.849,36.15009300410262,52.936715561779245,0.0,0.0,0.0
"[1.94398, -0.371482, 7.93506e-05]","[0.0, 7053121.0, 8805465.0]","[0.0,0.5,1.0]",5356,413179.0,409259.0,-0.659627,0.0155537,150909.293891057,13.6816,2.1180005730926545,122.68105289569888,-1.0,0.991,171.05012301943046,74.77327144927573,1.0928299836074626,0.0,0.0
"[2.24989, -2.24515, 0.000174879]","[0.0, 304413.7, 597518.0]","[0.0,0.5,1.0]",2922,21197.3,1100.0,-0.158172,0.713565,153217.02766671267,13.8684,4666.755597826463,18.11726004668917,-1.0,1.867,38.41207306917537,0.0,0.0,0.0,0.0
"[-0.586726, 4.27537, -7.28824, 5.80613, 1.37845e-05]","[4462915.0, 0.0, 298639.6, 221317.1, 8614818.0]","[0.5,0.0,0.5,0.0,1.0]",4220,69394.9,1954.68,-0.540441,0.807022,164254.36005642565,14.7592,1072.814231902311,15.02662235447294,-1.0,2.031,63.67544260749563,0.0,0.0,0.0,0.0
"[2.06608, -0.429887, 0.0370394]","[0.0, 5347209.0, 5389453.0]","[0.0,0.5,1.0]",6726,35362.6,6554.46,-0.823357,-0.372686,159731.7593547337,14.3947,546.768786836047,36.82397741981861,0.617,0.617,58.60691201813815,0.0,0.0,0.0,0.0
"[3.70024, -0.0240081, 0.00049433]","[0.0, 14285840.0, 14456850.0]","[0.0,0.5,1.0]",4687,69478.1,46781.9,0.526502,-0.675517,126725.164505979,11.7111,75.37723543937392,178.2984249922387,-1.0,2.048,342.9749912037948,27.909501879975746,0.0,0.0,0.0
"[2.63027, -1.7773, 1.12809e-05]","[0.0, 2161267.0, 4473024.0]","[0.0,0.5,1.0]",9731,7328.21,1647.93,-0.0279695,0.614563,65709.25006489213,6.58672,20419.66619695507,24.59957741640548,-1.0,0.445,51.644944091524856,0.0,0.0,0.0,0.0
[6.99713],[0.0],[0.0],6126,8794.91,1230.76,0.967216,0.931386,164198.4736806331,14.7547,6992.967995537707,17.120656062911284,-1.0,0.604,45.28771138809905,0.0,0.0,0.0,0.0
"[2.23425, 3.69021, -2.6558]","[0.0, 250953100.0, 302248800.0]","[0.0,0.0,0.5]",6806,60489.9,12102.2,-0.590428,-0.862337,169164.86674493487,15.1542,191.84837888167223,54.01059689458716,-1.0,1.042,80.73184174141109,103.75392083751598,88.0190466169481,0.0,0.0
"[-0.487149, 3.05095, 0.000380717]","[49652960.0, 0.0, 52642280.0]","[0.5,0.0,1.0]",5867,10423.7,2193.28,-0.280403,-0.916555,173876.67499783498,15.5325,3298.7560560226207,20.65139795722387,-1.0,1.197,38.84702910655036,0.0,0.0,0.0,0.0
"[1.76699, 0.000883985, -0.217111]","[0.0, 13626490.0, 12948730.0]","[0.0,1.0,0.5]",8301,515557.0,24936.9,-0.14301,-0.858136,122377.8913100802,11.3541,33.136856355778725,42.62715967773645,-1.0,0.505,56.66350588080921,19.902592322807056,0.0,0.0,0.0
"[2.19054, -0.916111, 0.384954]","[0.0, 16446690.0, 16450260.0]","[0.0,0.5,1.0]",6938,244697.0,221529.0,0.630448,-0.846896,171566.4084360834,15.3471,4.677803627338959,167.04347525284862,-1.0,0.663,247.23224395288668,190.53686431635455,0.0,0.0,0.0
[10.134],[0.0],[0.0],2090,17374.4,3662.18,0.173438,0.812816,136055.6431528352,12.4743,1976.408758069744,35.56222583436921,-1.0,0.833,113.20859109798273,0.0,0.0,0.0,0.0
