mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[1.5338, -0.315538, 0.00247659]","[0.0, 3126555.0, 3304931.0]","[0.0,0.5,1.0]",459,66095.4,65970.6,0.745669,-0.682927,122538.4267179928,11.3673,61.366214739350745,206.07833137179125,-1.0,0.432,280.4342668729907,0.0,0.0,0.0,0.0
[5.85922],[0.0],[0.0],5506,14120.2,5330.56,-0.0144637,0.362504,69584.32333097766,6.92174,3944.963141937729,51.05531926132347,-1.0,0.723,123.58361613977803,0.0,0.0,0.0,0.0
[3.44774],[0.0],[0.0],2260,93001.0,13287.2,-0.565536,0.32787,143558.0108107387,13.0852,162.1666501742979,63.18281848826616,-1.0,0.559,117.31843175686548,0.0,0.0,0.0,0.0
[3.43047],[0.0],[0.0],4695,74552.7,1305.0,0.737597,0.966134,151382.25496634524,13.7199,1710.4323843797677,31.86737266549478,-1.0,1.323,59.023243557943424,0.0,0.0,0.0,0.0
[3.54028],[0.0],[0.0],5263,22947.2,20201.8,-0.945014,-0.675447,202693.7443249698,17.8324,197.27082682501756,56.337853470196514,1.305,1.305,106.00323072479091,0.0,0.0,0.0,0.0
[3.90136],[0.0],[0.0],2301,86969.4,74819.8,-0.443331,-0.634054,154213.50916536243,13.949,32.070227666550295,196.82044270045284,0.586,0.586,388.756996159031,0.0,0.0,0.0,0.0
"[2.52643, -0.491956, -2.95937, 2.98364, 0.0304314]","[0.0, 1041116.0, 179312.7, 98973.62, 1097277.0]","[0.0,0.5,0.5,0.0,1.0]",2961,49050.9,1100.0,-0.562108,-0.194333,77545.27636432111,7.60472,6574.59434671596,23.987460421852138,-1.0,0.757,71.929700524958,0.0,0.0,0.0,0.0
"[2.19497, -0.25614, 0.0425422]","[0.0, 2915108.0, 2929380.0]","[0.0,0.5,1.0]",7929,27491.1,18665.0,-0.454793,0.690328,83308.29951981013,8.09518,613.1233419393627,99.498344043725,-1.0,1.124,157.12084029009463,0.0,0.0,0.0,0.0
"[4.27652, -0.496784]","[0.0, 10834940.0]","[0.0,0.5]",303,4107.95,2985.4,0.920798,-0.784428,160289.64070176458,14.4397,5688.138723784111,18.96232516936371,-1.0,1.631,41.428683894641914,0.0,0.0,0.0,0.0
"[3.41289, -0.255241, 3.58443e-06]","[0.0, 6466814.0, 9504536.0]","[0.0,0.5,1.0]",6847,262254.0,23069.3,-0.423349,0.707566,147972.59530850945,13.4436,44.07115821331115,61.3639255890454,-1.0,1.047,113.3637699437123,31.002120703029362,0.0,0.0,0.0
"[1.80042, -0.536089, -0.917033, 1.79526, 1.83472e-05]","[132741.7, 2759585.0, 1626901.0, 0.0, 6296172.0]","[0.0,0.5,0.5,0.0,1.0]",811,131089.0,19265.2,-0.144633,-0.286573,154424.9787851365,13.9661,80.48959519409728,88.7184992568702,-1.0,1.418,199.34674349782395,0.0,0.0,0.0,0.0
"[5.47748, -0.634561, 0.0555816]","[0.0, 39029000.0, 39193560.0]","[0.0,0.5,1.0]",8745,141105.0,80648.8,0.842213,0.208836,31411.725797126976,3.51215,150.0392814991415,596.4539907842423,0.654,0.654,1395.9419190481929,495.5030893490686,0.0,0.0,0.0
[4.83357],[0.0],[0.0],3607,29130.3,10130.0,-0.42408,-0.395141,160693.8772218958,14.4723,416.689707431316,52.33901327159686,1.541,1.541,115.06931744660689,0.0,0.0,0.0,0.0
[3.56117],[0.0],[0.0],974,69964.0,27827.8,-0.64343,-0.11273,154591.9425982687,13.9796,90.3460654262113,106.71324415733352,-1.0,2.034,201.3792300413185,0.0,0.0,0.0,0.0
"[2.14037, 2.9407, -2.3682]","[0.0, 1019516.0, 1425166.0]","[0.0,0.0,0.5]",3623,23902.1,1100.0,0.973017,0.81037,151882.49529620117,13.7604,4352.219758014836,23.45200870482693,-1.0,0.285,64.0083901451212,0.0,0.0,0.0,0.0
"[-0.633725, 3.08534, 2.11699e-05]","[11040610.0, 0.0, 15825300.0]","[0.5,0.0,1.0]",8820,77529.4,16352.1,0.0443852,-0.399833,181099.44154129364,16.1111,109.64913549161652,81.70512814789487,-1.0,1.391,143.51616815391054,65.04396228347278,0.0,0.0,0.0
"[2.65551, -2.73235, 3.95359e-05]","[0.0, 18551890.0, 28544300.0]","[0.0,0.5,1.0]",691,47444.5,8571.8,0.806773,0.410417,181524.4602806217,16.1451,286.84209216964604,73.39303163635813,1.601,1.601,170.35879989678568,0.0,0.0,0.0,0.0
"[2.07706, -0.269321, 0.00277306]","[0.0, 2529891.0, 2657765.0]","[0.0,0.5,1.0]",2653,9710.48,5438.59,0.682972,-0.109354,162511.31081715634,14.6188,1668.6580695551431,33.85982247947877,-1.0,1.699,51.89678168635551,0.0,0.0,0.0,0.0
"[-1.48546, 3.07279, 9.65506e-05]","[41294210.0, 0.0, 45783810.0]","[0.5,0.0,1.0]",3374,40971.4,23469.2,-0.92349,-0.915567,210968.6055983347,18.4889,102.669392046106,70.80586564892879,0.683,0.683,124.11825956162039,86.30060316337921,0.0,0.0,0.0
[3.69212],[0.0],[0.0],1924,27461.2,7719.22,-0.733709,-0.161467,137552.80843817518,12.5964,693.6555597016444,46.361498668298616,0.741,0.741,89.08310999066158,0.0,0.0,0.0,0.0
"[-1.75514, 3.49123]","[42264210.0, 0.0]","[0.5,0.0]",6564,14942.6,2017.9,0.604116,-0.522363,202468.41017021835,17.8145,2225.242190171497,22.946036983467604,-1.0,1.364,52.55779627913346,0.0,0.0,0.0,0.0
"[2.0506, -0.3002, 6.06125e-05]","[0.0, 9243806.0, 11050820.0]","[0.0,0.5,1.0]",5046,249030.0,29220.1,0.204605,0.359924,146091.7954812534,13.291,36.99162170835981,121.9500267381436,-1.0,0.67,174.63141635843317,66.82378682594081,0.0,0.0,0.0
"[2.07363, -1.34459, 0.00350602]","[0.0, 4145209.0, 5037453.0]","[0.0,0.5,1.0]",226,34849.2,16581.7,0.0782511,-0.675973,151034.00730857992,13.6917,253.80670312057745,76.62782005609404,-1.0,0.777,141.74543690009418,0.0,0.0,0.0,0.0
"[4.1933, -3.99556, 0.000170796]","[0.0, 196865.7, 435822.8]","[0.0,0.5,1.0]",9581,50433.2,27977.6,0.176537,0.164972,211401.49245423067,18.5232,74.47366341105578,109.2065904677422,-1.0,1.584,312.51085020388473,0.0,0.0,0.0,0.0
"[3.41578, -0.00523163]","[0.0, 26185600.0]","[0.0,0.5]",9413,16252.5,3662.27,-0.0203951,0.465437,124563.49952034694,11.5337,2340.457894198424,35.21737198440278,1.811,1.811,65.13797001442256,0.0,0.0,0.0,0.0
[3.88118],[0.0],[0.0],280,87641.5,15819.9,-0.635893,0.681126,153992.16766902086,13.9311,129.9713435748481,71.28586231811981,-1.0,0.506,140.4382146756914,0.0,0.0,0.0,0.0
"[1.85057, -0.335693, 0.000222247]","[0.0, 3075316.0, 3722122.0]","[0.0,0.5,1.0]",8798,31733.6,2193.6,0.931018,0.653217,205765.61194088537,18.0763,1186.830980293286,32.99202648379966,-1.0,0.746,48.784546022357624,0.0,0.0,0.0,0.0
"[3.64007, 3.34869e-05, -0.0393291]","[0.0, 21370780.0, 20558530.0]","[0.0,1.0,0.5]",5959,5154.56,1890.47,0.272467,-0.211648,148012.05347442985,13.4468,7979.1927725689075,17.305553889357995,0.993,0.993,33.19524889220453,0.0,0.0,0.0,0.0
"[2.8182, -0.353072, 8.66893e-05]","[0.0, 2897861.0, 3460728.0]","[0.0,0.5,1.0]",1047,192567.0,21099.4,-0.400422,0.610488,152332.19166682608,13.7968,57.29335136931823,75.1754020391603,-1.0,1.175,133.87467876372438,0.0,0.0,0.0,0.0
"[-1.66901, 2.61934, 1.79727e-05]","[12811810.0, 0.0, 20499820.0]","[0.5,0.0,1.0]",4789,14928.2,1100.0,-0.492891,0.224094,81019.82055983078,7.90079,13960.23199440454,22.161714239412685,-1.0,1.56,45.89330902520062,0.0,0.0,0.0,0.0
"[2.58635, -0.316288, 6.38285e-06]","[0.0, 8256609.0, 10701470.0]","[0.0,0.5,1.0]",9429,139307.0,52597.6,-0.146889,0.476252,97448.15629561924,9.28659,56.22189735488072,242.45999912774263,-1.0,1.801,389.92739393597174,136.3596377698764,0.0,0.0,0.0
