mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
[3.32907],[0.0],[0.0],3302,682187.0,362651.0,0.952626,0.889649,58221.615110854415,5.9339,5.608098009150107,1419.168295186689,-1.0,0.583,2589.3774635548098,0.0,0.0,0.0,0.0
"[-0.969099, 5.31309, -9.93416, 7.6483, 0.000776101]","[2398933.0, 0.0, 153036.0, 104072.8, 3813171.0]","[0.5,0.0,0.5,0.0,1.0]",497,2341200.0,1381230.0,0.955662,0.998,44162.27038437383,4.68402,0.7893147778928734,922.448576753705,-1.0,0.63,2126.2569757023452,3867.960088384909,908.0844477810595,25.698116086804543,0.0
"[2.19412, -1.94593, 3.56892e-05]","[0.0, 5220953.0, 7537683.0]","[0.0,0.5,1.0]",8589,41546.4,10982.0,0.660641,0.947112,63481.96900343104,6.39332,1016.7826772230986,112.39153464380416,-1.0,1.401,228.6853091924057,0.0,0.0,0.0,0.0
"[2.184, -0.577144, 0.000255253]","[0.0, 6570730.0, 8663207.0]","[0.0,0.5,1.0]",600,836737.0,90247.0,0.699006,0.84068,38075.52967473224,4.13025,29.331136183358268,720.376392502591,-1.0,0.37,1064.5983509169562,547.390909639417,0.0,0.0,0.0
[3.05455],[0.0],[0.0],8569,214093.0,207968.0,0.939287,0.773886,51570.79194651204,5.34706,26.89682197778277,995.273330793107,-1.0,0.49,1739.4661675574525,0.0,0.0,0.0,0.0
"[1.52065, -0.319501, 1.53538e-05]","[0.0, 6940084.0, 8878170.0]","[0.0,0.5,1.0]",7361,101104.0,92723.1,0.942508,0.636791,84402.51062554843,8.18796,53.22449758165255,412.552508566898,-1.0,0.646,508.73763341802083,233.19851364781982,0.0,0.0,0.0
"[1.68785, -0.331834, 0.00184282]","[0.0, 8679951.0, 9173364.0]","[0.0,0.5,1.0]",8484,272313.0,181227.0,0.633941,0.801538,24751.84150097909,2.87814,56.516123758991824,1304.957344261188,-1.0,0.709,1695.3651047740175,753.8055573249538,0.0,0.0,0.0
"[4.29659, -0.0416101, 0.00101484]","[0.0, 165007800.0, 165482600.0]","[0.0,0.5,1.0]",5487,611976.0,460153.0,0.849395,0.973184,38064.08641203636,4.1292,8.248463025467412,2131.296024358262,-1.0,0.733,4417.796751239218,440.02329130853144,0.0,0.0,0.0
"[3.1313, -0.896909, 0.00953527]","[0.0, 3009501.0, 3316815.0]","[0.0,0.5,1.0]",8538,1438210.0,1395730.0,0.998,0.998,32313.84852770232,3.59667,1.8529652216284915,1675.0335027899962,-1.0,1.047,2964.052125962673,1586.3451636157868,163.56485591119434,0.0,0.0
[3.40714],[0.0],[0.0],465,256697.0,205793.0,0.998,0.876603,47088.005137207634,4.94717,26.04812527944,1157.7041391480543,0.359,0.359,2136.941216337212,0.0,0.0,0.0,0.0
"[4.14594, -3.05183, 0.0158018]","[0.0, 1071783.0, 1544868.0]","[0.0,0.5,1.0]",2919,88793.8,34376.3,0.998,0.961013,19501.601092539586,2.36249,750.7041384197024,444.8954103705376,0.654,0.654,1194.9042475992437,0.0,0.0,0.0,0.0
[3.97121],[0.0],[0.0],6859,897572.0,585802.0,0.996385,0.998,22460.546802039808,2.65514,8.659574516646014,3989.082753362953,0.668,0.668,7949.402234230172,0.0,0.0,0.0,0.0
"[1.73571, -0.542979, 3.81595e-05]","[0.0, 7101173.0, 8692367.0]","[0.0,0.5,1.0]",7704,714590.0,448031.0,0.670154,0.817825,61180.58392022407,6.1928,4.2082703245924105,841.785412915065,-1.0,2.271,1109.0215327606895,620.2873328885873,5.199992694298045,0.0,0.0
"[-0.765532, 2.71814, 0.000119656]","[3168317.0, 0.0, 4799793.0]","[0.5,0.0,1.0]",8046,566437.0,474903.0,0.996384,0.786907,58157.20302815261,5.92825,5.15935544802464,1386.4355022210473,-1.0,0.456,2285.7860693030966,1213.057383062008,15.165855407725791,0.0,0.0
