mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[-1.51879, 3.18787, 0.00154473]","[923866.6, 0.0, 1155783.0]","[0.5,0.0,1.0]",2969,31056.8,8428.88,0.785982,0.903924,145012.89167233254,13.2034,542.7599370245886,68.62585789634996,0.717,0.717,148.907117335177,0.0,0.0,0.0,0.0
"[3.12629, -0.122637, 0.0465087]","[0.0, 48451090.0, 48463630.0]","[0.0,0.5,1.0]",1289,26318.0,21960.0,-0.887709,0.65164,131413.6553200188,12.0951,300.993236631014,83.51251970117693,-1.0,0.958,147.66114031353933,34.34646679779194,0.0,0.0,0.0
"[3.08775, -0.0291061]","[0.0, 201689000.0]","[0.0,0.5]",6803,25555.5,6088.68,-0.106496,-0.121708,204944.1539196657,18.0111,521.7381112659888,38.44052078967667,-1.0,1.459,67.54766300568973,6.5581488769254745,0.0,0.0,0.0
"[2.42892, -2.00715]","[0.0, 64194060.0]","[0.0,0.5]",2421,33379.6,4438.28,0.90473,-0.829909,181199.4401537601,16.1191,692.5347491252818,47.04981068388298,-1.0,1.367,73.32709598801529,66.65731179907417,0.0,0.0,0.0
"[2.44587, -2.10584, 0.000101799]","[0.0, 1951843.0, 3167250.0]","[0.0,0.5,1.0]",9076,102801.0,2962.47,0.972353,0.322934,129544.07617427374,11.9421,756.466848808065,66.38278268788609,-1.0,0.953,141.6275042756994,0.0,0.0,0.0,0.0
[4.16728],[0.0],[0.0],7023,33213.8,17961.6,0.357392,0.122927,173833.0427309374,15.529,201.6724289600303,83.9295976368301,-1.0,0.653,171.3331825030243,0.0,0.0,0.0,0.0
[3.48267],[0.0],[0.0],2407,52963.2,1100.0,0.36451,-0.170418,93737.901777576,8.97547,4880.003501510956,29.12088433584733,-1.0,0.802,54.34514124400891,0.0,0.0,0.0,0.0
[4.34401],[0.0],[0.0],3771,31146.8,1100.0,-0.91183,0.489427,204751.417740456,17.9958,2387.632237541897,10.431733992541004,-1.0,2.896,21.742121195104986,0.0,0.0,0.0,0.0
"[1.51957, -0.220322, 7.76028e-06]","[0.0, 26449100.0, 31674980.0]","[0.0,0.5,1.0]",9613,145064.0,1760.15,-0.678942,0.0644168,103303.10008397009,9.77559,1365.858342463336,13.727856904473471,-1.0,1.869,18.107765335577795,0.0,0.0,0.0,0.0
"[11.6014, -3.93345, 3.53344, -9.51491]","[6568294.0, 8246086.0, 0.0, 6714247.0]","[0.0,0.5,0.0,0.5]",9891,12020.5,3982.25,-0.451004,-0.907501,181109.4412418572,16.1119,1610.2565197438018,26.89251248422628,2.18,2.18,143.77613442850108,0.0,0.0,0.0,0.0
"[2.82247, -2.42741, 0.000659763]","[0.0, 394436.8, 830215.5]","[0.0,0.5,1.0]",9184,111157.0,101016.0,-0.60907,0.356534,198158.6024078196,17.4719,14.280397027420332,217.5997976111809,-1.0,0.979,498.6094014187919,0.0,0.0,0.0,0.0
"[3.40609, 0.000167119, -0.253354]","[0.0, 13120640.0, 11808490.0]","[0.0,1.0,0.5]",933,249344.0,67284.4,-0.592393,0.407889,210422.2103214386,18.4456,9.988745959327124,82.43438385321002,-1.0,1.311,152.1375631940177,41.492755688473785,1.0656664919098555,0.0,0.0
"[4.62024, -0.166147, 3.00616e-05]","[0.0, 14224030.0, 15451050.0]","[0.0,0.5,1.0]",6371,5346.47,4629.72,0.84062,0.836024,162238.29743472292,14.5968,3104.697446856978,25.924729117730365,1.398,1.398,56.717815584214684,0.0,0.0,0.0,0.0
"[2.42709, -3.38013, -2.38552, 5.87543, 2.90368e-05]","[0.0, 9347167.0, 10012960.0, 9044499.0, 21553640.0]","[0.0,0.5,0.5,0.0,1.0]",7066,234677.0,10277.7,0.0312588,-0.528312,156147.1558773102,14.1053,97.55161148630526,43.27791430208959,-1.0,0.57,67.42318480769616,147.6600324403382,0.23320652587205312,0.0,0.0
[3.87176],[0.0],[0.0],3364,20622.7,11790.6,0.545722,0.0349388,109024.72512843764,10.2513,806.7385189191228,70.85951350731742,-1.0,0.614,139.42876502803333,0.0,0.0,0.0,0.0
"[2.78918, -0.48809]","[0.0, 12340190.0]","[0.0,0.5]",8512,162290.0,5815.82,0.262372,0.585316,221314.23859106284,19.3075,134.30729937872667,32.25632777212367,-1.0,1.134,53.87077143486407,22.535379625303566,0.0,0.0,0.0
"[2.2577, -0.437119, 5.88987e-05]","[0.0, 27138180.0, 31351210.0]","[0.0,0.5,1.0]",2078,62100.2,51507.7,0.459731,0.185244,204978.1673437325,18.0138,38.84135831799757,169.46215053810178,-1.0,1.526,254.62780716926144,112.03985949758942,1.300545551967248,0.0,0.0
"[1.50617, -0.245008, 0.00013955]","[0.0, 14532930.0, 15888010.0]","[0.0,0.5,1.0]",8327,8128.92,5364.36,-0.610785,0.966611,166679.81108951138,14.9544,1876.7201828172583,30.074208947161228,-1.0,0.886,39.79941262558095,0.0,0.0,0.0,0.0
