mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[-0.380345, 1.77539, 0.00326876]","[2693040.0, 0.0, 2818060.0]","[0.5,0.0,1.0]",7379,7854.57,6419.79,0.0909056,-0.839628,173917.81465188722,15.5358,1557.9210649310608,30.47778381787684,0.41,0.41,44.78268034932982,0.0,0.0,0.0,0.0
"[-0.506108, 1.72141, 0.000124982]","[19338920.0, 0.0, 21936870.0]","[0.5,0.0,1.0]",2361,98850.0,71013.4,0.894826,-0.797189,171566.4084360834,15.3471,26.026706603308288,237.54712077750457,-1.0,0.705,311.6677972922854,168.99403360744708,2.6556663209612155,0.0,0.0
"[3.49635, -7.78916, 0.610337]","[0.0, 227629100.0, 229951800.0]","[0.0,0.5,1.0]",1757,134817.0,3521.72,0.311164,0.585863,171527.79675609505,15.344,359.55988325201,31.02500338512101,1.05,1.05,58.01219365026438,89.91631026305984,0.0,0.0,0.0
"[1.3882, -0.160229, 0.000807646]","[0.0, 10748260.0, 10827810.0]","[0.0,0.5,1.0]",96,128602.0,11665.1,-0.952568,0.222066,131412.43272992084,12.095,165.43505316769304,47.99726747852284,1.065,1.065,59.7413997576257,0.0,0.0,0.0,0.0
"[-1.49884, 2.20838, -14.726, 16.5273, 0.0149039]","[1762617.0, 0.0, 1481962.0, 1480834.0, 2052702.0]","[0.5,0.0,0.5,0.0,1.0]",4593,508413.0,2859.26,0.256829,-0.468756,113876.01070186315,10.6531,317.64956870560127,17.167225707795808,1.088,1.088,101.52701333011322,0.0,0.0,0.0,0.0
"[6.65475, -5.16283, 9.76095e-07]","[0.0, 3987743.0, 11386950.0]","[0.0,0.5,1.0]",8948,124906.0,35871.2,0.926556,0.589108,202254.42001030792,17.7975,31.71611129752744,225.28458156649475,-1.0,1.481,581.162177302397,511.8885109888918,0.22257558000721497,0.0,0.0
"[1.74574, 6.30783e-06, -0.248712]","[0.0, 65983390.0, 60865390.0]","[0.0,1.0,0.5]",757,91215.9,20347.2,-0.920413,-0.233157,194017.8370582746,17.1423,71.95126160147825,72.91150238464718,1.808,1.808,96.33538308217535,36.362181008335796,0.0,0.0,0.0
"[3.43665, -0.0938536, 1.80904e-06]","[0.0, 11973800.0, 14773060.0]","[0.0,0.5,1.0]",5698,13898.3,3527.0,0.550227,-0.347292,172924.40904027835,15.4561,1726.6049352642235,30.5822043927124,-1.0,0.806,57.462858618498,0.0,0.0,0.0,0.0
[3.17258],[0.0],[0.0],8129,26823.0,18876.3,-0.46416,-0.760982,77374.87578925616,7.59017,681.1667082417866,92.88750204398474,-1.0,0.471,165.44878222931027,0.0,0.0,0.0,0.0
"[1.81113, -0.546878, 0.000109769]","[0.0, 5479717.0, 6678201.0]","[0.0,0.5,1.0]",8833,2776.57,2688.8,0.672723,-0.0401978,77205.913744392,7.57574,22824.376430672557,20.144022534963,-1.0,0.646,30.933491635909938,0.0,0.0,0.0,0.0
"[1.55068, -0.236688, 8.03791e-05]","[0.0, 16110460.0, 17653140.0]","[0.0,0.5,1.0]",2840,29683.2,10898.5,0.226534,-0.19057,199345.5512013336,17.5663,283.61384172902274,57.91656163008688,-1.0,0.819,77.43183030943308,0.0,0.0,0.0,0.0
"[4.79886, -0.554081, 9.45876e-06]","[0.0, 15537900.0, 19535500.0]","[0.0,0.5,1.0]",2210,236195.0,9362.42,0.126659,-0.58491,136012.7443889987,12.4708,128.92699676653456,49.05106207942954,0.857,0.857,107.45273039689762,36.512263025760795,0.0,0.0,0.0
"[1.96503, -0.868227, 0.000135944]","[0.0, 10213440.0, 12713510.0]","[0.0,0.5,1.0]",2185,43711.1,1469.61,-0.529608,0.574981,24972.52480799335,2.89947,19947.718939765906,57.70874578066972,-1.0,1.241,97.13931567685695,0.0,0.0,0.0,0.0
[3.17253],[0.0],[0.0],5595,46337.7,1100.0,0.25505,-0.0432871,179009.04276500535,15.9438,2208.334330368309,19.120783580962936,0.918,0.918,34.05716980755135,0.0,0.0,0.0,0.0
"[-0.685261, 2.17983, 4.2569e-05]","[32445840.0, 0.0, 36759830.0]","[0.5,0.0,1.0]",7528,126437.0,59136.1,-0.952754,0.908625,181105.6913499604,16.1116,23.31379684599553,171.4756327096276,1.303,1.303,253.17086569145363,141.94837391105088,1.1187914482377448,0.0,0.0
"[-0.864746, 2.47589, 3.97021, -1.96402, 4.11511e-05]","[22606150.0, 0.0, 15417010.0, 18009500.0, 28510580.0]","[0.5,0.0,0.0,0.5,1.0]",6105,228385.0,95417.0,0.687682,-0.203386,118118.66543046552,11.0034,17.377916323262248,408.608672106301,-1.0,1.537,642.9441550087643,814.168544033812,572.6384857593406,379.9722325121834,2.6211888024194563
"[2.07141, -0.931195, 6.12829e-05]","[0.0, 2708810.0, 3855247.0]","[0.0,0.5,1.0]",7327,53302.1,17676.4,0.575282,-0.807921,88460.64118764063,8.53116,356.47880357931297,121.6242836209893,-1.0,1.578,210.7530308182492,0.0,0.0,0.0,0.0
"[-10.9014, 9.03863, 0.00654607]","[19755.58, 0.0, 52244.79]","[0.5,0.0,1.0]",5779,181447.0,24447.3,-0.799593,-0.168988,161853.6495070965,14.5658,47.63480935455731,70.98550599887923,-1.0,1.663,317.0325553477884,0.0,0.0,0.0,0.0
"[1.53367, -0.353442, 1.74651e-05]","[0.0, 4149840.0, 5156199.0]","[0.0,0.5,1.0]",9890,55203.5,1100.0,-0.13447,0.368183,61880.61855134611,6.25387,8070.741465488812,31.676100171882645,-1.0,1.804,43.51435550352892,0.0,0.0,0.0,0.0
"[1.62, -0.247027, 4.30773e-06]","[0.0, 27266180.0, 33944090.0]","[0.0,0.5,1.0]",8147,75086.6,55154.5,0.0268399,0.575386,199066.37739290888,17.5441,32.73049109982459,183.3693965857601,-1.0,2.065,233.39113881817735,91.1379106152049,0.3805844968103554,0.0,0.0
"[2.23004, -0.915185, 0.000893265]","[0.0, 2389776.0, 2869722.0]","[0.0,0.5,1.0]",7623,18251.5,1100.0,-0.0512315,-0.0872032,115417.62682990763,10.7805,7620.543509971228,20.526349259282203,-1.0,1.182,36.40820235174918,0.0,0.0,0.0,0.0
[4.24685],[0.0],[0.0],9244,21798.3,16429.7,0.97229,-0.872615,127592.3123128988,11.7822,467.8519613334393,76.28879147757259,-1.0,2.269,157.2150781911209,0.0,0.0,0.0,0.0
"[-8.64189, 12.0482, -22.8227, 21.0425, 0.000892664]","[27894160.0, 0.0, 2302792.0, 1034321.0, 48502460.0]","[0.5,0.0,0.5,0.0,1.0]",728,20286.3,8525.72,-0.075367,0.498327,110549.07513176271,10.3777,1070.3960079629885,58.20328630436782,0.996,0.996,467.64514246515364,0.0,0.0,0.0,0.0
