mu_list,td_list,n_list,idx,m1,m2,a1,a2,Dl_s,z_merge,duration_time,Mean_SNR,z_lens_sbh,z_lens_hh,Signal_1,Signal_2,Signal_3,Signal_4,Signal_5
"[2.60368, -0.399734, 7.94269e-05]","[0.0, 50448660.0, 53806140.0]","[0.0,0.5,1.0]",1601,912.646,850.433,0.998,0.998,89050.00468252129,8.57117,125386.83906338822,7.591258671872525,-1.0,1.209,13.156099008034962,0.0,0.0,0.0,0.0
"[2.08667, -4.29954, 2.33622e-05]","[0.0, 15538070.0, 21405360.0]","[0.0,0.5,1.0]",1815,374.242,327.507,0.922528,0.42948,161251.8756665405,14.4991,261550.5035473213,2.923849371237213,1.794,1.794,7.3888591399023404,0.0,0.0,0.0,0.0
[6.33197],[0.0],[0.0],1691,375.474,204.454,0.513208,0.721488,83261.34290157909,8.08216,955020.813511431,3.0438018775457736,-1.0,0.352,7.659242233626532,0.0,0.0,0.0,0.0
"[2.59426, -0.611777]","[0.0, 38941670.0]","[0.0,0.5]",6898,1556.33,783.971,0.998,0.998,98733.1318343382,9.38325,76532.44232631456,8.730748358663893,-1.0,1.402,15.632762719672698,0.0,0.0,0.0,0.0
"[-2.07493, 0.976457]","[5036883.0, 5038652.0]","[0.5,1.0]",1183,511.532,319.672,0.61691,0.888741,46256.821841410725,4.86795,1046871.3979397416,5.242090153274734,1.662,1.662,9.156998256151335,0.0,0.0,0.0,0.0
"[7.94385, -1.16244, 0.000840903]","[0.0, 31075390.0, 33506030.0]","[0.0,0.5,1.0]",1579,926.779,438.755,0.663709,0.753608,66451.32141468002,6.64397,319705.2922625284,6.43662237612831,1.738,1.738,19.424454004059815,0.0,0.0,0.0,0.0
"[2.427, -2.07234]","[0.0, 22255090.0]","[0.0,0.5]",7477,388.482,342.659,0.382785,0.18416,91776.0845938238,8.80051,524080.9991749908,3.6775614947164574,-1.0,1.783,7.800713898147646,0.0,0.0,0.0,0.0
"[3.10778, -0.794468, 2.60381e-05]","[0.0, 23804340.0, 30913430.0]","[0.0,0.5,1.0]",169,443.449,251.555,0.373685,0.772219,99126.1903313459,9.41607,555552.1811533878,3.3125352121629548,-1.0,2.222,6.543639808467333,0.0,0.0,0.0,0.0
"[-1.099, 1.57746, 0.0150971]","[7252585.0, 0.0, 7518999.0]","[0.5,0.0,1.0]",5284,396.633,317.672,0.292966,0.819624,135781.24344895838,12.4367,324701.74239405,3.126551896357743,-1.0,0.55,5.129410311854757,0.0,0.0,0.0,0.0
[3.06758],[0.0],[0.0],8427,691.746,127.552,0.997107,0.998,109820.03676056898,10.3051,647293.9697254476,2.7789690596896603,1.344,1.344,4.867227658277674,0.0,0.0,0.0,0.0
"[3.17596, 6.06222e-05, -0.0112091]","[0.0, 115951800.0, 115114400.0]","[0.0,1.0,0.5]",6444,264.965,248.655,0.193544,0.00617001,102324.0806294733,9.6827,815340.0089376667,2.670928666704389,-1.0,1.858,4.768359303066509,0.0,0.0,0.0,0.0
"[-0.349257, 1.57424, 0.0110989]","[3914039.0, 0.0, 4039916.0]","[0.5,0.0,1.0]",6573,362.708,293.138,0.340033,0.841771,76212.87069342588,7.48267,805000.1392448747,3.610986845219805,-1.0,0.46,5.022512633305471,0.0,0.0,0.0,0.0
"[-0.585052, 4.14222, 0.00138451]","[7007640.0, 0.0, 8145447.0]","[0.5,0.0,1.0]",3092,805.29,356.507,0.89951,0.983326,46952.4426287595,4.93029,655051.3849528887,6.47011659660217,-1.0,0.745,14.069575394150734,0.0,0.0,0.0,0.0
"[3.01766, -0.633253]","[0.0, 9754413.0]","[0.0,0.5]",649,269.636,255.658,0.904148,0.738226,135719.88068447442,12.4317,536032.0832421058,2.4633758315329217,-1.0,1.218,4.706861487684107,0.0,0.0,0.0,0.0
"[1.38851, -0.253355]","[0.0, 8923755.0]","[0.0,0.5]",2782,650.152,271.993,0.985885,0.755372,37974.66298906769,4.11734,1258922.1066474046,5.834830781564976,-1.0,1.087,7.476476763883659,0.0,0.0,0.0,0.0
"[3.46479, -0.13187]","[0.0, 15417210.0]","[0.0,0.5]",5321,254.961,230.797,0.509785,-0.0180276,172715.43285102802,15.4198,437725.4941987964,2.128964848788151,1.57,1.57,4.037552508329591,0.0,0.0,0.0,0.0
"[2.08625, -0.577743, 0.00157537]","[0.0, 3122337.0, 3593361.0]","[0.0,0.5,1.0]",3966,792.924,584.338,0.998,0.996938,63978.41697206331,6.42973,295030.5453048932,6.9590897628910025,-1.0,0.735,11.361805528840131,0.0,0.0,0.0,0.0
