m1,m2,a1,a2,Dl_s,z_merger,d2N_dzdt,duration_time,Mean_SNR
76087.5,18914.2,0.928913,0.351208,172925.6552363846,15.4562,6.181572949371964e-11,103.49342130919682,137.47963742652396
124293.0,24568.8,-0.730511,0.454173,172913.1933019614,15.4552,3.813327440317474e-11,56.6379368107986,89.54249207134295
128190.0,115061.0,0.11167,0.364008,211830.6462258885,18.5572,1.0644109379650396e-10,10.33430222383152,243.847427340793
71186.6,14176.4,-0.508089,-0.724719,145927.95298475347,13.2777,2.22494015949958e-10,180.4583174536612,66.1219803932884
70413.2,7780.94,-0.0409458,-0.788738,198093.23247884872,17.4667,5.7712028675706285e-11,210.2425439984712,44.04920117929842
65358.2,51256.4,0.460441,0.442219,145684.06113224485,13.2579,2.2236724177262824e-10,60.45317192260696,197.0618623405445
201363.0,153156.0,0.9036,0.450073,172946.84066075366,15.4579,9.259672537024104e-11,7.456362268159952,405.9022083728688
274402.0,83525.4,0.633716,-0.643035,156039.48137423827,14.0966,8.958388675032378e-11,11.632737603184385,275.79666227442834
221004.0,22201.4,-0.293955,0.821664,113980.02518215652,10.6617,1.7112003006098676e-11,73.6821509647639,95.86031488219923
379857.0,18581.5,0.277818,-0.709947,198012.77902799868,17.4603,2.122615269268121e-11,27.863049468386848,39.2224503438711
10796.1,10164.5,-0.760624,0.304327,191155.4569357382,16.9142,1.210346457793906e-09,712.0276133887753,39.26901353876295
39942.1,31036.0,0.601836,0.512937,172955.56412050556,15.4586,2.3312891569373345e-10,109.00378508558474,126.49948856792952
81345.7,39069.6,-0.929789,0.503248,185099.6419242979,16.4309,6.312636573279129e-11,46.071880014747165,129.34237635220194
319240.0,56943.0,-0.0967522,0.349941,126692.24353187082,11.7084,1.7802679876734048e-11,19.88986133475663,155.02963629254785
289797.0,238304.0,-0.750903,0.564179,164099.1232850677,14.7467,4.089753706565785e-11,4.063761906811066,147.44224889070412
70519.4,26737.8,-0.452709,-0.160458,164250.6342582214,14.7589,1.154764571117251e-09,85.56950885355141,105.16489432556676
191596.0,1100.0,0.23304,0.286089,118095.6215570098,11.0015,3.971477084833839e-11,1513.5476127039765,17.28886723787072
145944.0,99377.9,-0.337989,0.5365,179036.5213362205,15.946,4.20351496582453e-11,13.39357400695846,245.2660392176616
35233.5,25307.7,-0.315496,0.48767,150990.7889758013,13.6882,1.7737136428642772e-10,173.73738038083596,97.92298128197054
140222.0,41723.7,0.339474,-0.195918,91601.61522871011,8.79587,3.5865407108161406e-11,75.04779491911418,233.9408166092263
41564.7,12100.2,0.87701,-0.91998,173940.25473293313,15.5376,1.1868329003678194e-08,242.8237678938781,79.19440403705924
14475.2,1529.05,0.775097,-0.450415,136915.05015334729,12.5444,9.748150684753363e-10,5142.146717462813,23.26525091909584
17739.6,14774.0,0.361884,0.399714,131312.1831878339,12.0868,1.32645260618828e-10,582.4174145785403,69.23891001990069
142292.0,50641.7,-0.49061,0.651735,204871.0892192633,18.0053,2.1007585871084558e-10,20.56481190629135,143.2914324161008
139511.0,81519.8,-0.183508,0.263862,131414.87791095278,12.0952,3.641026477228853e-11,25.380359786450377,275.9189305490069
34805.2,4424.92,-0.58459,-0.606183,156122.40266643307,14.1033,6.617617775954604e-11,830.9565472378379,31.77032002053912
175466.0,69296.8,0.0215952,0.46025,145810.9305738272,13.2682,1.870720335446984e-11,21.27809309120464,250.1730780781629
165537.0,13746.1,0.714711,-0.736718,131251.05817948942,12.0818,7.314294849592567e-11,118.53950752202265,122.22346286895096
242910.0,59260.6,-0.362344,0.368036,156235.03195199085,14.1124,3.864105698291949e-11,17.498181693133834,139.5286542555626
50061.5,5869.59,0.103929,0.592306,197959.98255856527,17.4561,4.718788060627898e-11,350.9394244933757,42.78672145665733
98625.0,82341.6,0.588096,0.396696,156221.41712664237,14.1113,3.863994750058083e-11,26.19420466761212,285.39124983308494
350824.0,202108.0,0.0985318,-0.485651,179001.548656796,15.9432,2.059136121834649e-11,3.5414444923671238,131.2744520788089
316799.0,251302.0,0.668275,0.500264,68691.97108917266,6.84475,4.5484559611465245e-09,11.648541073676368,902.8849181017688
514128.0,17229.4,0.0196799,0.107302,156216.46630125996,14.1109,9.744959997418507e-11,34.040515146814315,25.51866779981267
23413.2,3812.79,-0.497362,0.380538,118082.28052451598,11.0004,3.5005562144928765e-11,1862.1271048861563,36.72107197191043
218968.0,128510.0,0.791186,-0.669192,151008.0762056141,13.6896,4.3344693568935314e-11,9.824086714701314,348.2885550011568
283244.0,46857.7,0.430069,0.765319,150954.98015228315,13.6853,9.586814972660146e-11,20.49429683844329,187.2667137548513
19439.2,6343.66,0.527917,-0.296542,171474.239570947,15.3397,4.499574825666363e-09,791.399346427436,44.39393619246621
62550.2,37267.1,0.22029,0.132719,145679.1343209026,13.2575,1.7241188043724258e-10,82.49760416325113,152.22047199884625
22083.0,8117.99,0.50383,-0.133701,78342.09282088566,7.67272,6.37792582499395e-10,1649.25053131191,69.49519493123043
7553.98,1137.87,-0.744721,-0.332522,91040.7572188189,8.74866,1.1340713681376896e-09,18688.43369199886,17.801315209027656
105825.0,30542.0,0.720823,0.0153537,211765.0075243985,18.552,7.239440978440959e-11,38.98501458359403,163.12828059883148
33320.3,1222.37,0.0375568,0.709338,67713.12456274586,6.76019,7.26340726103052e-10,9136.884293135454,31.480030731971897
313414.0,301038.0,0.814475,-0.869494,211828.12163763816,18.557,8.524415411531432e-11,2.136739477472712,105.37086973127552
127983.0,28826.5,-0.0964869,0.077105,109925.38571693467,10.326,8.546493810544161e-11,88.92306989192618,147.27161769214868
223677.0,25023.2,-0.631523,-0.937317,198078.1473015988,17.4655,1.5160014304406384e-10,30.198569569875342,46.56003803226846
130531.0,12705.7,-0.94728,-0.563992,204954.2319350659,18.0119,8.44431809017668e-11,80.91853454759652,38.70906090202812
72848.2,2504.12,-0.471389,-0.0882946,156035.7685513445,14.0963,6.593049041992131e-11,872.6916704379142,18.629202055003965
19044.2,8226.78,0.443303,0.777392,117131.7270648032,10.922,9.930924118396175e-10,1073.257025104076,58.47477223538174
21499.4,5601.08,-0.228035,-0.412061,156088.98625931673,14.1006,4.382396218349001e-11,939.7545001104388,39.40549492208783
405792.0,235194.0,0.730832,-0.00779732,103077.13342253843,9.75676,3.4580036465371244e-11,5.947663923044267,488.2526246984544
10047.3,6035.98,-0.718579,0.827802,171556.44407655433,15.3463,3.3951695197214063e-09,1374.064010668064,32.935309120382655
19375.9,8966.05,0.43322,0.797179,109929.00400331538,10.3263,9.227713211370863e-11,1067.8529100620797,62.57834300386898
70368.4,20252.6,0.654169,0.421264,131347.63665134765,12.0897,2.1445836884247078e-10,150.66721989181343,135.8927532326257
102035.0,31512.0,0.763988,0.270075,181101.9414630861,16.1113,1.068610894317802e-09,48.61049597133569,180.51801425381683
37831.0,20786.0,-0.265437,-0.454206,88374.27249499115,8.52387,3.7964636245636057e-11,401.24387543596646,104.51522200258314
11274.9,7591.21,-0.881094,0.579479,164085.46292227108,14.7456,3.279979266759683e-10,1092.9070390587274,37.45062101028225
